,ID RESTAURANT,GRADE,DBA,Latitude,Longitude,Exponential Smoothed Score,Probabilistic risk Score,Final Cluster,CUISINE DESCRIPTION
7240,50003314,A,DANTE'S PIZZA,40.71000594,-73.84798641,12.42049807,14.21303676,0,Pizza
7241,50003326,A,COVENHOVEN,40.6751862,-73.95996884,10.5023602,12.01807132,2,American
7242,50003337,A,SEASONED VEGAN,40.80049278,-73.9525068,10.43430345,11.94019255,0,Vegetarian
7243,50003346,A,BOMBAY SANDWICH CO,40.74492086,-73.98982651,12.80764756,14.65606006,2,Vegetarian
7244,50003354,A,SWEET SPOT,40.77461374,-73.91256052,5.910006901,6.762945003,2,American
7245,50003360,A,GROUND CENTRAL COFFEE COMPANY,40.75751058,-73.97088148,11.0151423,12.60485865,1,American
7246,50003364,A,KURENT EVENTS,40.69324237,-73.94297326,9.832718621,11.2517864,2,American
7247,50003366,A,MI LINDO SAN MIGUELITO,40.87998539,-73.90688491,4.671650837,5.345868155,1,Mexican
7248,50003371,A,COCO FRESH TEA & JUICE,40.7142923,-73.99372341,11.34319932,12.98026119,2,"Juice, Smoothies, Fruit Salads"
7249,50003374,C,SAMUDRA INDIAN RESTAURANT,40.7490741,-73.89056045,25.80193904,29.52570067,1,Indian
7250,50003403,A,SILK ROAD CAFE,40.71468497,-73.99881321,2.816005309,3.22241401,1,Coffee/Tea
7251,50003404,A,RED ROOM,40.72638547,-73.98988708,5.901428356,6.753128394,2,Bottled Beverages
7252,50003416,A,UNIDENTIFIED FLYING CHICKEN,40.74654411,-73.89421331,12.32325232,14.10175641,0,Korean
7253,50003433,A,SUSHI KATSUEI,40.67064581,-73.97845372,7.171004754,8.205931326,1,Japanese
7254,50003474,A,TOTTO RAMEN,40.76482589,-73.99022417,12.42049807,14.21303676,0,Japanese
7255,50003475,A,MADISON CAFE,40.8139894,-73.91931846,12.66966465,14.49816331,0,American
7256,50003485,A,WASABI SUSHI BENTO,40.75469473,-73.98750054,7.497203213,8.579207073,2,Japanese
7257,50003490,A,THE SMOKE HOUSE,40.69179062,-73.76190186,11.13841804,12.74592566,0,Caribbean
7258,50003492,A,UNIQUE BAKERY,40.6319819,-74.00718392,7.959306812,9.108001926,3,Chinese
7259,50003494,A,SERBIAN ASSOCIATION,40.70033898,-73.88874014,13.40305612,15.33739857,3,Eastern European
7260,50003498,A,BLACK FOREST BROOKLYN,40.686617,-73.97517814,12.58174046,14.39754982,1,German
7261,50003503,C,CAFE 52 RESTAURANT,40.74429566,-73.91327172,31.2023512,35.70550571,0,American
7262,50003506,A,LUPITA RESTAURANT,40.79016809,-73.94277435,10.20429303,11.6769868,0,Mexican
7263,50003527,A,CHAPATI HOUSE,40.81446063,-73.95919472,10.34830994,11.84178837,1,Indian
7264,50003531,A,NEW SPRING GARDEN,40.85217799,-73.86487366,12.32325232,14.10175641,0,Chinese
7265,50003549,A,EL SABROSO RESTAURANT,40.75362185,-73.99095852,7.89545202,9.034931546,1,Latin American
7266,50003553,A,RANCHO TEQUILERIA,40.76357691,-73.98888868,11.90788115,13.62643846,0,Mexican
7267,50003556,A,EASTERN RESTAURANT,40.63644423,-73.89263025,12.63628097,14.45996166,0,Chinese
7268,50003557,A,RAY'S CAFE AND RESTAURANT,40.84396533,-73.78527819,10.06578413,11.51848815,1,Spanish
7269,50003561,A,EL RINCON PERUANO RESTAURANT,40.74594806,-73.89985506,12.51766883,14.32423131,1,Peruvian
7270,50003570,A,M. WELLS STEAKHOUSE,40.74866714,-73.94232291,7.497203213,8.579207073,2,Steakhouse
